claim_id,paper_key,kind,label,line_start,next_line_start,n_deps,deps,n_unresolved_refs,unresolved_refs,region_chars,used_by_count,deps_str,unresolved_refs_str
GLC1:remark:auto0013@L1883,GLC1,remark,,1883,1939.0,2,"['GLC1:corollary:c:main dr', 'GLC1:theorem:t:compact to bdd below dr']",1,['ss:spectral'],1821,0,GLC1:corollary:c:main dr;GLC1:theorem:t:compact to bdd below dr,ss:spectral
GLC1:proposition:p:L and Hecke,GLC1,proposition,p:L and Hecke,1939,1987.0,0,[],1,['ss:bdd right'],2110,0,,ss:bdd right
GLC1:proposition:p:bdd right,GLC1,proposition,p:bdd right,1987,1997.0,0,[],0,[],387,3,,
GLC1:corollary:c:bdd right,GLC1,corollary,c:bdd right,1997,2016.0,2,"['GLC1:theorem:t:L coarse left exact Nilp', 'GLC1:theorem:t:compact to bdd below dr']",0,[],820,1,GLC1:theorem:t:L coarse left exact Nilp;GLC1:theorem:t:compact to bdd below dr,
GLC1:proposition:p:compact bdd below,GLC1,proposition,p:compact bdd below,2016,2020.0,0,[],0,[],159,3,,
GLC1:theorem:t:L coarse left exact,GLC1,theorem,t:L coarse left exact,2020,2025.0,0,[],0,[],226,5,,
GLC1:remark:r:left ampl,GLC1,remark,r:left ampl,2025,2047.0,1,['GLC1:theorem:t:L coarse left exact'],0,[],861,0,GLC1:theorem:t:L coarse left exact,
GLC1:question:auto0020@L2047,GLC1,question,,2047,2051.0,0,[],0,[],101,0,,
GLC1:remark:auto0021@L2051,GLC1,remark,,2051,2218.0,4,"['GLC1:proposition:p:compact bdd below', 'GLC1:proposition:p:when >0', 'GLC1:theorem:t:L coarse left exact', 'GLC1:theorem:t:L coarse left exact Nilp']",1,['ss:proof >0'],6096,0,GLC1:proposition:p:compact bdd below;GLC1:proposition:p:when >0;GLC1:theorem:t:L coarse left exact;GLC1:theorem:t:L coarse left exact Nilp,ss:proof >0
GLC1:proposition:p:when >0,GLC1,proposition,p:when >0,2218,2245.0,0,[],0,[],785,5,,
GLC1:remark:auto0023@L2245,GLC1,remark,,2245,2331.0,2,"['GLC1:proposition:p:when >0', 'GLC1:theorem:t:L coarse left exact']",0,[],3466,0,GLC1:proposition:p:when >0;GLC1:theorem:t:L coarse left exact,
GLC1:theorem:t:L coarse left exact Nilp,GLC1,theorem,t:L coarse left exact Nilp,2331,2340.0,1,['GLC1:theorem:t:L coarse left exact'],0,[],270,6,GLC1:theorem:t:L coarse left exact,
GLC1:remark:r:right ampl,GLC1,remark,r:right ampl,2340,2469.0,2,"['GLC1:proposition:p:bdd right', 'GLC1:proposition:p:when >0']",2,"['e:estim Z hat', 'e:estim Zn']",3908,0,GLC1:proposition:p:bdd right;GLC1:proposition:p:when >0,e:estim Z hat;e:estim Zn
GLC1:proposition:p:when <0,GLC1,proposition,p:when <0,2469,2595.0,3,"['GLC1:proposition:p:bdd right', 'GLC1:proposition:p:when >0', 'GLC1:theorem:t:L coarse left exact Nilp']",2,"['sss:pfaff', 'sss:red to rat']",4627,0,GLC1:proposition:p:bdd right;GLC1:proposition:p:when >0;GLC1:theorem:t:L coarse left exact Nilp,sss:pfaff;sss:red to rat
GLC1:remark:auto0027@L2595,GLC1,remark,,2595,2625.0,0,[],0,[],1008,0,,
GLC1:proposition:auto0028@L2625,GLC1,proposition,,2625,2651.0,0,[],1,['e:loc Betti'],1057,0,,e:loc Betti
GLC1:remark:r:Kir,GLC1,remark,r:Kir,2651,2684.0,0,[],1,['e:pt mod Z emb'],1076,1,,e:pt mod Z emb
GLC1:remark:r:exp r/T,GLC1,remark,r:exp r/T,2684,2716.0,1,['GLC1:remark:r:Kir'],0,[],1079,1,GLC1:remark:r:Kir,
GLC1:remark:r:exp chi/T,GLC1,remark,r:exp chi/T,2716,2738.0,1,['GLC1:remark:r:exp r/T'],0,[],617,1,GLC1:remark:r:exp r/T,
GLC1:proposition:p:Poinc Nilp comp,GLC1,proposition,p:Poinc Nilp comp,2738,2801.0,1,['GLC1:theorem:t:compact to bdd below dr'],1,['sss:betti comp gen'],2091,0,GLC1:theorem:t:compact to bdd below dr,sss:betti comp gen
GLC1:theorem:t:compact to bdd below Betti,GLC1,theorem,t:compact to bdd below Betti,2801,2834.0,0,[],1,['s:proof of Betti >0'],1255,3,,s:proof of Betti >0
GLC1:conjecture:c:GLC Betti,GLC1,conjecture,c:GLC Betti,2834,2857.0,0,[],1,['e:L Betti'],739,0,,e:L Betti
GLC1:theorem:t:dR => Betti,GLC1,theorem,t:dR => Betti,2857,2909.0,1,['GLC1:theorem:t:dR => Betti bis'],1,['e:Dmod nilp as ten'],1879,0,GLC1:theorem:t:dR => Betti bis,e:Dmod nilp as ten
GLC1:theorem:t:dR => Betti bis,GLC1,theorem,t:dR => Betti bis,2909,3023.0,3,"['GLC1:proposition:p:L coarse left exact Nilp Betti', 'GLC1:proposition:p:delta funs', 'GLC1:theorem:t:compact to bdd below Betti']",9,"['e:Betti constr Nilp as ten', 'e:restr as ten prod Betti', 'e:restr as ten prod dR', 's:restricted vs full', 'sss:Betti constr Nilp as ten', 'sss:Betti vs dR restr', 'sss:betti comp gen', 'sss:red to rat', 'sss:red to restr']",4208,6,GLC1:proposition:p:L coarse left exact Nilp Betti;GLC1:proposition:p:delta funs;GLC1:theorem:t:compact to bdd below Betti,e:Betti constr Nilp as ten;e:restr as ten prod Betti;e:restr as ten prod dR;s:restricted vs full;sss:Betti constr Nilp as ten;sss:Betti vs dR restr;sss:betti comp gen;sss:red to rat;sss:red to restr
GLC1:proposition:p:delta funs,GLC1,proposition,p:delta funs,3023,3029.0,0,[],0,[],191,4,,
GLC1:proposition:p:L coarse left exact Nilp Betti,GLC1,proposition,p:L coarse left exact Nilp Betti,3029,3033.0,0,[],0,[],175,4,,
GLC1:remark:auto0039@L3033,GLC1,remark,,3033,3076.0,2,"['GLC1:proposition:p:L coarse left exact Nilp Betti', 'GLC1:theorem:t:L coarse left exact Nilp']",0,[],2083,0,GLC1:proposition:p:L coarse left exact Nilp Betti;GLC1:theorem:t:L coarse left exact Nilp,
GLC1:lemma:e:RH diag coarse,GLC1,lemma,e:RH diag coarse,3076,3103.0,2,"['GLC1:proposition:p:L coarse left exact Nilp Betti', 'GLC1:remark:r:exp chi/T']",1,['sss:exp chi/T'],974,1,GLC1:proposition:p:L coarse left exact Nilp Betti;GLC1:remark:r:exp chi/T,sss:exp chi/T
GLC1:remark:auto0041@L3103,GLC1,remark,,3103,3203.0,7,"['GLC1:lemma:e:RH diag coarse', 'GLC1:proposition:p:L coarse left exact Nilp Betti', 'GLC1:proposition:p:compact bdd below', 'GLC1:proposition:p:delta funs', 'GLC1:theorem:t:compact to bdd below Betti', 'GLC1:theorem:t:compact to bdd below dr', 'GLC1:theorem:t:dR => Betti bis']",2,"['e:RH diag', 'e:RH diag comp']",3813,0,GLC1:lemma:e:RH diag coarse;GLC1:proposition:p:L coarse left exact Nilp Betti;GLC1:proposition:p:compact bdd below;GLC1:proposition:p:delta funs;GLC1:theorem:t:compact to bdd below Betti;GLC1:theorem:t:compact to bdd below dr;GLC1:theorem:t:dR => Betti bis,e:RH diag;e:RH diag comp
GLC1:lemma:l:Beil,GLC1,lemma,l:Beil,3203,3235.0,1,['GLC1:proposition:p:delta funs'],0,[],1477,1,GLC1:proposition:p:delta funs,
GLC1:remark:e:forget constr,GLC1,remark,e:forget constr,3235,3343.0,4,"['GLC1:lemma:l:Beil', 'GLC1:proposition:p:compact bdd below', 'GLC1:proposition:p:delta funs', 'GLC1:theorem:t:dR => Betti bis']",0,[],4505,0,GLC1:lemma:l:Beil;GLC1:proposition:p:compact bdd below;GLC1:proposition:p:delta funs;GLC1:theorem:t:dR => Betti bis,
GLC1:remark:auto0044@L3343,GLC1,remark,,3343,3384.0,0,[],0,[],1420,0,,
GLC1:remark:auto0045@L3384,GLC1,remark,,3384,3478.0,0,[],3,"['e:Dmod nilp as ten', 'e:LL temp', 'e:temp diag']",3819,0,,e:Dmod nilp as ten;e:LL temp;e:temp diag
GLC1:remark:r:L temp,GLC1,remark,r:L temp,3478,3499.0,0,[],0,[],1071,1,,
GLC1:remark:auto0047@L3499,GLC1,remark,,3499,3520.0,0,[],1,['ss:temp to all'],640,0,,ss:temp to all
GLC1:remark:auto0048@L3520,GLC1,remark,,3520,3575.0,1,['GLC1:theorem:t:dR => Betti bis'],0,[],1965,0,GLC1:theorem:t:dR => Betti bis,
GLC1:proposition:p:uR ff on compacts,GLC1,proposition,p:uR ff on compacts,3575,3581.0,0,[],0,[],201,2,,
GLC1:proposition:p:images,GLC1,proposition,p:images,3581,3712.0,1,['GLC1:proposition:p:uR ff on compacts'],2,"['e:Hom into mir comp', 'e:comp temp']",4931,3,GLC1:proposition:p:uR ff on compacts,e:Hom into mir comp;e:comp temp
GLC1:lemma:l:temp and Eis gen,GLC1,lemma,l:temp and Eis gen,3712,3798.0,1,['GLC1:proposition:p:images'],0,[],3638,0,GLC1:proposition:p:images,
GLC1:lemma:l:Eis,GLC1,lemma,l:Eis,3798,3836.0,2,"['GLC1:proposition:p:images', 'GLC1:theorem:t:dR => Betti bis']",2,"['sss:LL temp', 'sss:red to temp']",1333,2,GLC1:proposition:p:images;GLC1:theorem:t:dR => Betti bis,sss:LL temp;sss:red to temp
GLC1:proposition:p:uR ff on compacts Betti,GLC1,proposition,p:uR ff on compacts Betti,3836,3843.0,0,[],0,[],262,1,,
GLC1:proposition:p:images Betti,GLC1,proposition,p:images Betti,3843,3983.0,4,"['GLC1:proposition:p:images', 'GLC1:proposition:p:uR ff on compacts', 'GLC1:proposition:p:uR ff on compacts Betti', 'GLC1:theorem:t:L coarse left exact Nilp']",0,[],4147,0,GLC1:proposition:p:images;GLC1:proposition:p:uR ff on compacts;GLC1:proposition:p:uR ff on compacts Betti;GLC1:theorem:t:L coarse left exact Nilp,
GLC1:theorem:t:eigensheaves,GLC1,theorem,t:eigensheaves,3983,4059.0,0,[],5,"['i:eigen-CC', 'i:eigen-l-packets', 'i:eigen-nilp', 'i:eigen-perv', 'i:eigen-rs']",2353,2,,i:eigen-CC;i:eigen-l-packets;i:eigen-nilp;i:eigen-perv;i:eigen-rs
GLC1:remark:auto0056@L4059,GLC1,remark,,4059,4168.0,3,"['GLC1:lemma:l:Eis', 'GLC1:theorem:t:L coarse left exact Nilp', 'GLC1:theorem:t:eigensheaves']",5,"['i:eigen-CC', 'i:eigen-l-packets', 'i:eigen-nilp', 'i:eigen-perv', 'i:eigen-rs']",3330,0,GLC1:lemma:l:Eis;GLC1:theorem:t:L coarse left exact Nilp;GLC1:theorem:t:eigensheaves,i:eigen-CC;i:eigen-l-packets;i:eigen-nilp;i:eigen-perv;i:eigen-rs
GLC1:theorem:t:cc-cts,GLC1,theorem,t:cc-cts,4168,4179.0,0,[],0,[],272,1,,
GLC1:theorem:t:cc-existence,GLC1,theorem,t:cc-existence,4179,4193.0,0,[],0,[],520,1,,
GLC1:remark:auto0059@L4193,GLC1,remark,,4193,4224.0,2,"['GLC1:theorem:t:cc-cts', 'GLC1:theorem:t:cc-existence']",0,[],1081,0,GLC1:theorem:t:cc-cts;GLC1:theorem:t:cc-existence,
GLC1:theorem:t:microstalk,GLC1,theorem,t:microstalk,4224,,1,['GLC1:theorem:t:eigensheaves'],4,"['i:e-xi-1', 'i:e-xi-2', 'i:eigen-perv', 'sss:the-eigensheaf']",12881,0,GLC1:theorem:t:eigensheaves,i:e-xi-1;i:e-xi-2;i:eigen-perv;sss:the-eigensheaf
GLC2:theorem:t:main intro,GLC2,theorem,t:main intro,730,969.0,4,"['GLC2:proposition:p:IndCoh Op via fact almost', 'GLC2:proposition:p:Sph to unr Whit', 'GLC2:remark:r:spectral action', 'GLC2:theorem:t:critical FLE']",5,"['s:opers', 'ss:indcoh via fact', 'ss:temp', 'sss:R G Op', 'sss:mf intro']",9026,3,GLC2:proposition:p:IndCoh Op via fact almost;GLC2:proposition:p:Sph to unr Whit;GLC2:remark:r:spectral action;GLC2:theorem:t:critical FLE,s:opers;ss:indcoh via fact;ss:temp;sss:R G Op;sss:mf intro
GLC2:remark:auto0002@L969,GLC2,remark,,969,1104.0,0,[],4,"['s:FLE and duality', 's:opers', 's:unitality', 'sss:KL self-duality crit']",4494,0,,s:FLE and duality;s:opers;s:unitality;sss:KL self-duality crit
GLC2:remark:auto0003@L1104,GLC2,remark,,1104,1235.0,4,"['GLC2:corollary:c:Hecke crit Loc ult', 'GLC2:remark:r:unitality qft', 'GLC2:theorem:t:int loc over BunN kappa chi', 'GLC2:theorem:t:main intro']",2,"['s:Hecke Loc', 's:loc']",4754,0,GLC2:corollary:c:Hecke crit Loc ult;GLC2:remark:r:unitality qft;GLC2:theorem:t:int loc over BunN kappa chi;GLC2:theorem:t:main intro,s:Hecke Loc;s:loc
GLC2:remark:auto0004@L1235,GLC2,remark,,1235,1244.0,1,['GLC2:theorem:t:main intro'],0,[],331,0,GLC2:theorem:t:main intro,
GLC2:remark:r:spectral action,GLC2,remark,r:spectral action,1244,1732.0,6,"['GLC2:theorem:t:FF', 'GLC2:theorem:t:birth', 'GLC2:theorem:t:geom CS', 'GLC2:theorem:t:geom Satake', 'GLC2:theorem:t:ins vac reg', 'GLC2:theorem:t:main intro']",33,"['s:FF', 's:FLE', 's:FLE and duality', 's:Hecke Loc', 's:IndCoh inf type', 's:KL', 's:Langlands functor', 's:Sat', 's:add unit colax', 's:chiral mods', 's:coeff', 's:coeff Loc', 's:device', 's:fact', 's:fact alg', 's:from LS', 's:hor sect D sch', 's:indep', 's:ins vac reg', 's:loc', 's:loc Hecke gpd', 's:opers', 's:prop Loc', 's:spec Sph fact', 's:spectral Poinc', 's:unit', 's:unitality', 'ss:action of center', 'ss:indcoh via fact', 'ss:z on KL', 'sss:aff grass', 'sss:fact spaces', 'sss:just loops']",20241,1,GLC2:theorem:t:FF;GLC2:theorem:t:birth;GLC2:theorem:t:geom CS;GLC2:theorem:t:geom Satake;GLC2:theorem:t:ins vac reg;GLC2:theorem:t:main intro,s:FF;s:FLE;s:FLE and duality;s:Hecke Loc;s:IndCoh inf type;s:KL;s:Langlands functor;s:Sat;s:add unit colax;s:chiral mods;s:coeff;s:coeff Loc;s:device;s:fact;s:fact alg;s:from LS;s:hor sect D sch;s:indep;s:ins vac reg;s:loc;s:loc Hecke gpd;s:opers;s:prop Loc;s:spec Sph fact;s:spectral Poinc;s:unit;s:unitality;ss:action of center;ss:indcoh via fact;ss:z on KL;sss:aff grass;sss:fact spaces;sss:just loops
GLC2:remark:r:Pfaff,GLC2,remark,r:Pfaff,1732,1771.0,0,[],0,[],1338,2,,
GLC2:remark:r:Pfaff bis,GLC2,remark,r:Pfaff bis,1771,1842.0,1,['GLC2:remark:r:Pfaff'],2,"['e:etale vs dR twistings', 'e:tw line bundle']",2543,0,GLC2:remark:r:Pfaff,e:etale vs dR twistings;e:tw line bundle
GLC2:remark:auto0008@L1842,GLC2,remark,,1842,1852.0,1,['GLC2:remark:r:Pfaff'],0,[],326,0,GLC2:remark:r:Pfaff,
GLC2:remark:r:1/2 vs crit,GLC2,remark,r:1/2 vs crit,1852,2033.0,0,[],3,"['e:alpha', 'e:dual Whit', 'sss:rho twist']",7331,1,,e:alpha;e:dual Whit;sss:rho twist
GLC2:theorem:t:Whit self-dual gen,GLC2,theorem,t:Whit self-dual gen,2033,2037.0,0,[],0,[],106,3,,
GLC2:remark:auto0011@L2037,GLC2,remark,,2037,2055.0,1,['GLC2:theorem:t:Whit self-dual'],0,[],581,0,GLC2:theorem:t:Whit self-dual,
GLC2:remark:r:indep char,GLC2,remark,r:indep char,2055,2091.0,1,['GLC2:theorem:t:Whit self-dual gen'],3,"['e:dual Whit', 'sss:comp gen fact', 'sss:ren Whit aver']",1211,3,GLC2:theorem:t:Whit self-dual gen,e:dual Whit;sss:comp gen fact;sss:ren Whit aver
GLC2:theorem:t:Whit self-dual,GLC2,theorem,t:Whit self-dual,2091,2136.0,0,[],1,['sss:fact cat untl'],1893,1,,sss:fact cat untl
GLC2:theorem:t:geom CS,GLC2,theorem,t:geom CS,2136,2141.0,0,[],0,[],156,4,,
GLC2:remark:auto0015@L2141,GLC2,remark,,2141,2158.0,2,"['GLC2:remark:r:CS again', 'GLC2:theorem:t:geom CS']",0,[],639,0,GLC2:remark:r:CS again;GLC2:theorem:t:geom CS,
GLC2:remark:r:choice CS,GLC2,remark,r:choice CS,2158,2180.0,0,[],0,[],931,1,,
GLC2:remark:auto0017@L2180,GLC2,remark,,2180,2196.0,1,['GLC2:theorem:t:geom CS'],0,[],613,0,GLC2:theorem:t:geom CS,
GLC2:remark:auto0018@L2196,GLC2,remark,,2196,2237.0,0,[],0,[],1625,0,,
GLC2:lemma:l:CS and duality,GLC2,lemma,l:CS and duality,2237,2244.0,0,[],0,[],247,4,,
GLC2:remark:auto0020@L2244,GLC2,remark,,2244,2543.0,1,['GLC2:lemma:l:CS and duality'],11,"['e:Hecke spec local x', 'e:Rep fact', 'e:SphG is rigid', 'e:SphG spec is rigid', 's:spec Sph fact', 'ss:twist by G-bundle', 'sss:LS loc', 'sss:QCOh LS loc', 'sss:left and right dualization spec', 'sss:left to right Sph', 'sss:remove twist by G-bundle']",11174,0,GLC2:lemma:l:CS and duality,e:Hecke spec local x;e:Rep fact;e:SphG is rigid;e:SphG spec is rigid;s:spec Sph fact;ss:twist by G-bundle;sss:LS loc;sss:QCOh LS loc;sss:left and right dualization spec;sss:left to right Sph;sss:remove twist by G-bundle
GLC2:theorem:t:geom Satake,GLC2,theorem,t:geom Satake,2543,2553.0,0,[],1,['ss:FLE and Sat'],406,3,,ss:FLE and Sat
GLC2:remark:auto0022@L2553,GLC2,remark,,2553,2571.0,0,[],1,['sss:naive Sat'],822,0,,sss:naive Sat
GLC2:remark:auto0023@L2571,GLC2,remark,,2571,2583.0,2,"['GLC2:theorem:t:geom CS', 'GLC2:theorem:t:geom Satake']",0,[],493,0,GLC2:theorem:t:geom CS;GLC2:theorem:t:geom Satake,
GLC2:remark:auto0024@L2583,GLC2,remark,,2583,2592.0,0,[],0,[],278,0,,
GLC2:remark:r:CS again,GLC2,remark,r:CS again,2592,2616.0,2,"['GLC2:lemma:l:CS and duality', 'GLC2:theorem:t:geom Satake']",0,[],678,4,GLC2:lemma:l:CS and duality;GLC2:theorem:t:geom Satake,
GLC2:corollary:c:sigma and Sat,GLC2,corollary,c:sigma and Sat,2616,2649.0,1,['GLC2:lemma:l:CS and duality'],0,[],1074,1,GLC2:lemma:l:CS and duality,
GLC2:corollary:c:geom Sat tau,GLC2,corollary,c:geom Sat tau,2649,2941.0,1,['GLC2:corollary:c:sigma and Sat'],10,"['e:KL self-duality kappa', 'e:Sat curse', 'e:Sat tau curse', 'e:initial DS', 'e:pre DS', 'ss:KM fact', 'sss:KM duality', 'sss:can char', 'sss:duality lax untl', 'sss:lax vs strict unital']",10160,1,GLC2:corollary:c:sigma and Sat,e:KL self-duality kappa;e:Sat curse;e:Sat tau curse;e:initial DS;e:pre DS;ss:KM fact;sss:KM duality;sss:can char;sss:duality lax untl;sss:lax vs strict unital
GLC2:remark:auto0028@L2941,GLC2,remark,,2941,2952.0,1,['GLC2:remark:r:indep char'],0,[],438,0,GLC2:remark:r:indep char,
GLC2:lemma:l:DS on KL exact,GLC2,lemma,l:DS on KL exact,2952,2958.0,0,[],0,[],196,2,,
GLC2:remark:auto0030@L2958,GLC2,remark,,2958,3407.0,2,"['GLC2:lemma:l:DS on KL exact', 'GLC2:remark:r:indep char']",13,"['e:DS inv', 'e:alpha taut KL', 'e:central twist of KM', 'sss:LS punctured bad', 'sss:Op is a torsor', 'sss:forming arcs gen', 'sss:forming loops aff', 'sss:jet construction', 'sss:lambdach twist', 'sss:oper bundle is fixed', 'sss:placid', 'sss:remove twist by G-bundle', 'sss:twist by G-bundle']",16930,0,GLC2:lemma:l:DS on KL exact;GLC2:remark:r:indep char,e:DS inv;e:alpha taut KL;e:central twist of KM;sss:LS punctured bad;sss:Op is a torsor;sss:forming arcs gen;sss:forming loops aff;sss:jet construction;sss:lambdach twist;sss:oper bundle is fixed;sss:placid;sss:remove twist by G-bundle;sss:twist by G-bundle
GLC2:lemma:l:Op form smooth over LS,GLC2,lemma,l:Op form smooth over LS,3407,3485.0,1,['GLC2:lemma:l:LS formall smooth'],3,"['e:cotang Op/LS', 'e:cotang Op/LS gr i', 'sss:oper bundle is fixed']",3803,0,GLC2:lemma:l:LS formall smooth,e:cotang Op/LS;e:cotang Op/LS gr i;sss:oper bundle is fixed
GLC2:corollary:c:mf formally smooth,GLC2,corollary,c:mf formally smooth,3485,3657.0,2,"['GLC2:corollary:c:placid inherited', 'GLC2:lemma:l:LS reg to LS mer']",12,"['e:mon-free leq n bis', 'sss:IndCoh ! Ran', 'sss:IndCoh * Ran', 'sss:IndCoh * gen', 'sss:IndCoh non-placid !', 'sss:IndCoh non-placid *', 'sss:Op is a torsor', 'sss:closed emb placid', 'sss:ind-placid', 'sss:local prop fact', 'sss:oper bundle is fixed', 'sss:placid']",7417,2,GLC2:corollary:c:placid inherited;GLC2:lemma:l:LS reg to LS mer,e:mon-free leq n bis;sss:IndCoh ! Ran;sss:IndCoh * Ran;sss:IndCoh * gen;sss:IndCoh non-placid !;sss:IndCoh non-placid *;sss:Op is a torsor;sss:closed emb placid;sss:ind-placid;sss:local prop fact;sss:oper bundle is fixed;sss:placid
GLC2:proposition:p:mon-free to all,GLC2,proposition,p:mon-free to all,3657,3749.0,1,['GLC2:corollary:c:mf formally smooth'],2,"['e:mon-free to all cons', 'e:mon-free to compl retract']",3596,4,GLC2:corollary:c:mf formally smooth,e:mon-free to all cons;e:mon-free to compl retract
GLC2:remark:r:Op mf comonadic,GLC2,remark,r:Op mf comonadic,3749,3800.0,1,['GLC2:proposition:p:mon-free to all'],1,['e:mon-free to compl cons'],2041,1,GLC2:proposition:p:mon-free to all,e:mon-free to compl cons
GLC2:remark:auto0035@L3800,GLC2,remark,,3800,3806.0,0,[],1,['e:mon-free to compl retract'],289,0,,e:mon-free to compl retract
GLC2:remark:auto0036@L3806,GLC2,remark,,3806,3815.0,0,[],0,[],399,0,,
GLC2:remark:auto0037@L3815,GLC2,remark,,3815,3873.0,2,"['GLC2:lemma:l:unit determines strict', 'GLC2:remark:r:Op mf comonadic']",2,"['e:mon-free to compl geom', 'e:mon-free to compl retract']",2118,0,GLC2:lemma:l:unit determines strict;GLC2:remark:r:Op mf comonadic,e:mon-free to compl geom;e:mon-free to compl retract
GLC2:remark:auto0038@L3873,GLC2,remark,,3873,4128.0,0,[],11,"['e:form compl to residue', 'e:formal neighb as prod constr', 'e:iota ! adj linear', 'e:iota adj linear', 'e:mon-free to compl retract', 'e:trans', 'p:mon-free to all cons', 'ss:IndCoh op', 'sss:! acts on *', 'sss:! dual of *', 'sss:oper bundle is fixed']",9703,0,,e:form compl to residue;e:formal neighb as prod constr;e:iota ! adj linear;e:iota adj linear;e:mon-free to compl retract;e:trans;p:mon-free to all cons;ss:IndCoh op;sss:! acts on *;sss:! dual of *;sss:oper bundle is fixed
GLC2:proposition:p:ten prod property,GLC2,proposition,p:ten prod property,4128,4144.0,0,[],2,"['e:ten prod category', 'sss:proof of ten prod property']",514,1,,e:ten prod category;sss:proof of ten prod property
GLC2:lemma:l:hom category,GLC2,lemma,l:hom category,4144,4212.0,0,[],3,"['e:hom category', 'e:ten prod category', 'ss:Sph spec acts on mon-free']",3351,6,,e:hom category;e:ten prod category;ss:Sph spec acts on mon-free
GLC2:proposition:p:recover compl via Sph,GLC2,proposition,p:recover compl via Sph,4212,4310.0,0,[],4,"['e:mod out pos transl', 'e:monadic 1', 'e:recover compl via Sph', 'e:self-duality Op']",4185,1,,e:mod out pos transl;e:monadic 1;e:recover compl via Sph;e:self-duality Op
GLC2:lemma:l:Op duality all Opers,GLC2,lemma,l:Op duality all Opers,4310,4335.0,0,[],1,['e:self-duality Op'],1059,2,,e:self-duality Op
GLC2:remark:auto0043@L4335,GLC2,remark,,4335,4344.0,0,[],1,['e:self-duality Op'],298,0,,e:self-duality Op
GLC2:remark:auto0044@L4344,GLC2,remark,,4344,4391.0,0,[],2,"['e:self-duality mon free Op', 'sss:sph via ten']",1625,0,,e:self-duality mon free Op;sss:sph via ten
GLC2:proposition:p:Op duality mon-free Opers,GLC2,proposition,p:Op duality mon-free Opers,4391,4463.0,0,[],1,['e:self-duality mon free Op'],3093,2,,e:self-duality mon free Op
